Latitude (decimal degrees):	45.752
Longitude (decimal degrees):	4.949
Elevation (m):	195
Radiation database:	PVGIS-SARAH2


Slope: 37 deg. (optimum)
Azimuth: -2 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20181013:0510,0.0,0.0,0.0,14.13,2.28,0.0
20181013:0610,0.0,0.0,0.0,13.73,2.21,0.0
20181013:0710,234.22,297.93,12.09,14.81,2.0,0.0
20181013:0810,439.83,543.29,21.08,17.47,2.34,0.0
20181013:0910,595.19,741.38,28.6,19.51,3.52,0.0
20181013:1010,693.16,876.09,33.97,20.94,4.0,0.0
20181013:1110,709.13,900.56,36.45,22.16,4.48,0.0
20181013:1210,679.4,861.18,35.62,23.04,4.83,0.0
20181013:1310,637.4,803.67,31.64,23.44,5.03,0.0
20181013:1410,504.11,630.84,25.11,23.48,4.97,0.0
20181013:1510,311.37,396.84,16.78,22.98,4.41,0.0
20181013:1610,92.39,141.62,7.29,22.03,3.79,0.0
20181013:1710,0.0,0.0,0.0,20.65,3.72,0.0
20181013:1810,0.0,0.0,0.0,19.48,3.59,0.0
20181013:1910,0.0,0.0,0.0,18.86,3.79,0.0
20181013:2010,0.0,0.0,0.0,18.31,3.86,0.0
20181013:2110,0.0,0.0,0.0,17.86,4.07,0.0
20181013:2210,0.0,0.0,0.0,17.51,4.21,0.0
20181013:2310,0.0,0.0,0.0,17.17,4.34,0.0
20181014:0010,0.0,0.0,0.0,16.85,4.34,0.0
20181014:0110,0.0,0.0,0.0,16.55,4.21,0.0
20181014:0210,0.0,0.0,0.0,16.25,4.21,0.0
20181014:0310,0.0,0.0,0.0,16.09,4.55,0.0
20181014:0410,0.0,0.0,0.0,15.98,5.03,0.0
20181014:0510,0.0,0.0,0.0,15.88,5.24,0.0
20181014:0610,0.0,0.0,0.0,15.93,5.31,0.0
20181014:0710,241.26,306.2,11.84,16.79,5.17,0.0
20181014:0810,351.55,429.34,20.8,18.06,5.31,0.0
20181014:0910,428.21,524.08,28.29,19.26,5.1,0.0
20181014:1010,304.54,378.55,33.62,20.4,5.66,0.0
20181014:1110,143.69,190.84,36.08,21.47,6.14,0.0
20181014:1210,178.62,232.67,35.24,22.17,6.34,0.0
20181014:1310,81.89,117.39,31.27,22.42,6.34,0.0
20181014:1410,460.66,570.3,24.76,22.14,5.66,0.0
20181014:1510,190.54,246.9,16.45,21.36,5.03,0.0
20181014:1610,20.63,40.05,6.98,20.52,5.66,0.0
20181014:1710,0.0,0.0,0.0,19.56,5.31,0.0
20181014:1810,0.0,0.0,0.0,18.96,5.24,0.0
20181014:1910,0.0,0.0,0.0,18.91,4.97,0.0
20181014:2010,0.0,0.0,0.0,18.67,4.76,0.0
20181014:2110,0.0,0.0,0.0,18.14,4.48,0.0
20181014:2210,0.0,0.0,0.0,17.87,4.28,0.0
20181014:2310,0.0,0.0,0.0,17.6,4.14,0.0
20181015:0010,0.0,0.0,0.0,17.47,4.0,0.0
20181015:0110,0.0,0.0,0.0,17.12,3.52,0.0
20181015:0210,0.0,0.0,0.0,16.57,2.9,0.0
20181015:0310,0.0,0.0,0.0,15.92,2.34,0.0
20181015:0410,0.0,0.0,0.0,15.25,1.93,0.0
20181015:0510,0.0,0.0,0.0,14.22,1.52,0.0
20181015:0610,0.0,0.0,0.0,13.92,1.03,0.0
20181015:0710,158.09,206.84,11.58,14.45,0.48,0.0
20181015:0810,409.09,511.67,20.52,15.95,0.34,0.0
20181015:0910,481.5,611.4,27.98,18.4,0.55,0.0
20181015:1010,547.63,703.73,33.28,20.15,1.03,0.0
20181015:1110,498.68,639.34,35.71,21.08,1.17,0.0
20181015:1210,620.1,816.38,34.87,21.82,0.9,0.0
20181015:1310,252.19,324.8,30.9,22.21,1.17,0.0
20181015:1410,107.78,149.11,24.41,22.05,2.07,0.0
20181015:1510,73.53,106.9,16.12,21.02,2.62,0.0
20181015:1610,20.13,39.35,6.66,19.86,1.86,0.0
20181015:1710,0.0,0.0,0.0,18.89,1.59,0.0
20181015:1810,0.0,0.0,0.0,18.08,1.1,0.0
20181015:1910,0.0,0.0,0.0,17.57,1.72,0.0
20181015:2010,0.0,0.0,0.0,16.71,0.97,0.0
20181015:2110,0.0,0.0,0.0,15.83,1.17,0.0
20181015:2210,0.0,0.0,0.0,15.5,1.52,0.0
20181015:2310,0.0,0.0,0.0,15.18,1.38,0.0
20181016:0010,0.0,0.0,0.0,14.89,1.17,0.0
20181016:0110,0.0,0.0,0.0,14.69,1.17,0.0
20181016:0210,0.0,0.0,0.0,14.46,1.17,0.0
20181016:0310,0.0,0.0,0.0,14.39,1.1,0.0
20181016:0410,0.0,0.0,0.0,14.21,1.03,0.0
20181016:0510,0.0,0.0,0.0,14.0,1.03,0.0
20181016:0610,0.0,0.0,0.0,13.35,1.1,0.0
20181016:0710,242.53,310.08,11.33,14.21,0.55,0.0
20181016:0810,421.38,528.06,20.24,16.38,0.41,0.0
20181016:0910,555.91,711.94,27.67,18.62,0.69,0.0
20181016:1010,648.95,850.43,32.93,20.26,0.9,0.0
20181016:1110,673.0,897.44,35.34,21.37,0.69,0.0
20181016:1210,657.65,880.17,34.49,22.05,0.55,0.0
20181016:1310,597.33,784.16,30.54,22.47,0.9,0.0
20181016:1410,462.49,594.06,24.07,22.52,1.1,0.0
20181016:1510,249.9,324.84,15.8,22.36,1.24,0.0
20181016:1610,70.45,112.69,6.35,21.63,0.69,0.0
20181016:1710,0.0,0.0,0.0,20.66,0.41,0.0
20181016:1810,0.0,0.0,0.0,19.03,1.03,0.0
20181016:1910,0.0,0.0,0.0,17.15,1.72,0.0
20181016:2010,0.0,0.0,0.0,16.01,1.79,0.0
20181016:2110,0.0,0.0,0.0,15.25,1.66,0.0
20181016:2210,0.0,0.0,0.0,14.83,1.45,0.0
20181016:2310,0.0,0.0,0.0,14.25,1.38,0.0
20181017:0010,0.0,0.0,0.0,13.86,1.31,0.0
20181017:0110,0.0,0.0,0.0,13.37,1.24,0.0
20181017:0210,0.0,0.0,0.0,12.86,1.24,0.0
20181017:0310,0.0,0.0,0.0,12.46,1.24,0.0
20181017:0410,0.0,0.0,0.0,12.13,1.24,0.0
20181017:0510,0.0,0.0,0.0,11.8,1.17,0.0
20181017:0610,0.0,0.0,0.0,11.48,1.17,0.0
20181017:0710,207.0,261.78,11.08,11.11,1.03,0.0
20181017:0810,409.56,505.76,19.96,14.5,0.76,0.0
20181017:0910,556.91,704.73,27.36,17.48,1.03,0.0
20181017:1010,662.26,849.34,32.59,19.07,1.79,0.0
20181017:1110,681.4,879.52,34.98,20.11,2.0,0.0
20181017:1210,678.18,877.88,34.12,21.04,2.07,0.0
20181017:1310,608.59,781.8,30.18,21.63,2.0,0.0
20181017:1410,475.18,602.07,23.73,21.86,2.07,0.0
20181017:1510,286.4,368.1,15.48,21.66,2.0,0.0
20181017:1610,69.55,111.21,6.05,20.75,1.52,0.0
20181017:1710,0.0,0.0,0.0,19.21,1.79,0.0
20181017:1810,0.0,0.0,0.0,17.42,2.0,0.0
20181017:1910,0.0,0.0,0.0,16.44,2.14,0.0
20181017:2010,0.0,0.0,0.0,14.93,2.0,0.0
20181017:2110,0.0,0.0,0.0,13.96,1.86,0.0
20181017:2210,0.0,0.0,0.0,13.0,1.79,0.0
20181017:2310,0.0,0.0,0.0,12.25,1.66,0.0
20181018:0010,0.0,0.0,0.0,11.85,1.52,0.0
20181018:0110,0.0,0.0,0.0,11.4,1.45,0.0
20181018:0210,0.0,0.0,0.0,10.86,1.52,0.0
20181018:0310,0.0,0.0,0.0,10.44,1.45,0.0
20181018:0410,0.0,0.0,0.0,10.19,1.38,0.0
20181018:0510,0.0,0.0,0.0,9.81,1.38,0.0
20181018:0610,0.0,0.0,0.0,9.5,1.38,0.0
20181018:0710,111.89,148.03,10.82,9.89,1.31,0.0
20181018:0810,411.49,503.74,19.68,13.5,1.1,0.0
20181018:0910,575.25,715.36,27.05,15.53,1.66,0.0
20181018:1010,672.29,854.73,32.25,17.21,1.79,0.0
20181018:1110,695.43,894.01,34.61,18.77,1.93,0.0
20181018:1210,692.42,892.13,33.76,20.0,2.14,0.0
20181018:1310,612.09,779.4,29.82,20.79,2.34,0.0
20181018:1410,490.12,615.62,23.39,21.13,2.69,0.0
20181018:1510,294.91,376.51,15.16,20.95,2.55,0.0
20181018:1610,58.17,95.15,5.75,20.14,1.59,0.0
20181018:1710,0.0,0.0,0.0,18.83,1.52,0.0
20181018:1810,0.0,0.0,0.0,16.96,1.86,0.0
20181018:1910,0.0,0.0,0.0,15.47,2.34,0.0
20181018:2010,0.0,0.0,0.0,14.41,2.28,0.0
20181018:2110,0.0,0.0,0.0,13.41,2.14,0.0
20181018:2210,0.0,0.0,0.0,12.66,2.0,0.0
20181018:2310,0.0,0.0,0.0,11.93,1.86,0.0
20181019:0010,0.0,0.0,0.0,11.23,1.72,0.0
20181019:0110,0.0,0.0,0.0,10.66,1.66,0.0
20181019:0210,0.0,0.0,0.0,10.44,1.52,0.0
20181019:0310,0.0,0.0,0.0,10.17,1.38,0.0
20181019:0410,0.0,0.0,0.0,9.98,1.31,0.0
20181019:0510,0.0,0.0,0.0,10.15,1.17,0.0
20181019:0610,0.0,0.0,0.0,10.19,1.03,0.0
20181019:0710,168.36,214.78,10.57,10.0,0.97,0.0
20181019:0810,392.98,481.04,19.4,12.69,0.69,0.0
20181019:0910,576.81,724.42,26.74,15.09,0.9,0.0
20181019:1010,584.16,744.8,31.91,16.81,0.76,0.0
20181019:1110,692.33,912.61,34.25,18.34,0.62,0.0
20181019:1210,684.23,901.52,33.39,19.59,0.83,0.0
20181019:1310,599.62,774.57,29.47,20.41,1.17,0.0
20181019:1410,456.23,577.6,23.06,20.77,1.52,0.0
20181019:1510,275.36,353.11,14.85,20.58,1.79,0.0
20181019:1610,66.34,108.0,5.45,19.67,1.52,0.0
20181019:1710,0.0,0.0,0.0,18.08,2.0,0.0
20181019:1810,0.0,0.0,0.0,16.56,2.14,0.0
20181019:1910,0.0,0.0,0.0,15.2,2.21,0.0
20181019:2010,0.0,0.0,0.0,14.29,2.07,0.0
20181019:2110,0.0,0.0,0.0,13.26,1.93,0.0
20181019:2210,0.0,0.0,0.0,12.22,1.93,0.0
20181019:2310,0.0,0.0,0.0,11.45,1.86,0.0
20181020:0010,0.0,0.0,0.0,10.86,1.72,0.0
20181020:0110,0.0,0.0,0.0,10.38,1.59,0.0
20181020:0210,0.0,0.0,0.0,10.1,1.59,0.0
20181020:0310,0.0,0.0,0.0,9.88,1.59,0.0
20181020:0410,0.0,0.0,0.0,9.58,1.52,0.0
20181020:0510,0.0,0.0,0.0,9.05,1.59,0.0
20181020:0610,0.0,0.0,0.0,8.71,1.79,0.0
20181020:0710,169.38,214.78,10.31,9.05,1.38,0.0
20181020:0810,310.33,377.53,19.12,12.21,1.24,0.0
20181020:0910,557.42,687.6,26.43,14.1,1.59,0.0
20181020:1010,671.67,853.01,31.57,15.83,1.45,0.0
20181020:1110,719.59,923.31,33.89,17.65,1.93,0.0
20181020:1210,714.14,912.28,33.03,18.78,2.48,0.0
20181020:1310,617.19,776.23,29.12,19.67,2.97,0.0
20181020:1410,483.71,601.79,22.72,20.12,3.24,0.0
20181020:1510,289.51,367.74,14.53,20.12,3.03,0.0
20181020:1610,54.74,91.51,5.15,19.22,2.14,0.0
20181020:1710,0.0,0.0,0.0,17.52,2.55,0.0
20181020:1810,0.0,0.0,0.0,16.3,2.9,0.0
20181020:1910,0.0,0.0,0.0,14.87,2.69,0.0
20181020:2010,0.0,0.0,0.0,14.01,2.69,0.0
20181020:2110,0.0,0.0,0.0,13.18,2.48,0.0
20181020:2210,0.0,0.0,0.0,12.08,2.14,0.0
20181020:2310,0.0,0.0,0.0,10.89,2.0,0.0
20181021:0010,0.0,0.0,0.0,10.05,1.93,0.0
20181021:0110,0.0,0.0,0.0,9.33,1.86,0.0
20181021:0210,0.0,0.0,0.0,8.88,1.86,0.0
20181021:0310,0.0,0.0,0.0,8.49,1.79,0.0
20181021:0410,0.0,0.0,0.0,8.21,1.66,0.0
20181021:0510,0.0,0.0,0.0,7.81,1.66,0.0
20181021:0610,0.0,0.0,0.0,7.35,1.66,0.0
20181021:0710,55.89,81.19,10.06,7.68,1.1,0.0
20181021:0810,92.95,124.47,18.84,9.5,1.1,0.0
20181021:0910,99.72,133.23,26.12,11.08,1.52,0.0
20181021:1010,185.76,233.59,31.23,13.11,2.0,0.0
20181021:1110,625.28,776.44,33.54,15.07,2.28,0.0
20181021:1210,720.55,908.14,32.67,16.75,2.69,0.0
20181021:1310,631.86,785.23,28.77,18.0,3.38,0.0
20181021:1410,480.46,590.69,22.4,18.67,3.86,0.0
20181021:1510,287.63,361.89,14.23,18.8,4.0,0.0
20181021:1610,48.55,82.49,4.86,17.98,3.66,0.0
20181021:1710,0.0,0.0,0.0,16.6,4.0,0.0
20181021:1810,0.0,0.0,0.0,15.61,4.21,0.0
20181021:1910,0.0,0.0,0.0,14.47,4.14,0.0
20181021:2010,0.0,0.0,0.0,13.73,4.0,0.0
20181021:2110,0.0,0.0,0.0,13.03,3.66,0.0
20181021:2210,0.0,0.0,0.0,12.35,3.31,0.0
20181021:2310,0.0,0.0,0.0,11.71,3.1,0.0
20181022:0010,0.0,0.0,0.0,11.12,2.97,0.0
20181022:0110,0.0,0.0,0.0,10.6,2.83,0.0
20181022:0210,0.0,0.0,0.0,10.05,2.62,0.0
20181022:0310,0.0,0.0,0.0,9.41,2.48,0.0
20181022:0410,0.0,0.0,0.0,8.68,2.34,0.0
20181022:0510,0.0,0.0,0.0,8.02,2.34,0.0
20181022:0610,0.0,0.0,0.0,7.47,2.41,0.0
20181022:0710,212.28,262.79,9.8,7.56,2.34,0.0
20181022:0810,440.13,523.41,18.56,10.06,2.69,0.0
20181022:0910,608.22,729.35,25.81,11.77,3.59,0.0
20181022:1010,698.72,853.39,30.9,13.34,3.59,0.0
20181022:1110,724.19,894.0,33.18,14.89,3.72,0.0
20181022:1210,713.07,881.87,32.31,16.14,4.0,0.0
20181022:1310,638.85,783.02,28.43,17.06,4.55,0.0
20181022:1410,499.14,606.58,22.07,17.54,5.1,0.0
20181022:1510,303.67,377.71,13.92,17.35,5.03,0.0
20181022:1610,47.72,80.94,4.57,16.31,4.83,0.0
20181022:1710,0.0,0.0,0.0,15.0,5.03,0.0
20181022:1810,0.0,0.0,0.0,14.19,5.03,0.0
20181022:1910,0.0,0.0,0.0,13.8,4.9,0.0
20181022:2010,0.0,0.0,0.0,13.21,4.76,0.0
20181022:2110,0.0,0.0,0.0,12.64,4.48,0.0
20181022:2210,0.0,0.0,0.0,12.03,4.21,0.0
20181022:2310,0.0,0.0,0.0,11.5,4.21,0.0
20181023:0010,0.0,0.0,0.0,11.02,4.14,0.0
20181023:0110,0.0,0.0,0.0,10.5,4.0,0.0
20181023:0210,0.0,0.0,0.0,10.08,4.0,0.0
20181023:0310,0.0,0.0,0.0,9.69,3.86,0.0
20181023:0410,0.0,0.0,0.0,9.25,3.45,0.0
20181023:0510,0.0,0.0,0.0,8.76,3.31,0.0
20181023:0610,0.0,0.0,0.0,8.39,3.52,0.0
20181023:0710,174.45,219.11,9.55,8.16,2.9,0.0
20181023:0810,342.36,406.11,18.28,9.6,3.03,0.0
20181023:0910,525.89,623.68,25.5,11.28,4.0,0.0
20181023:1010,687.43,834.43,30.56,13.0,3.86,0.0
20181023:1110,742.4,913.76,32.83,14.61,4.0,0.0
20181023:1210,726.02,893.67,31.96,15.87,4.41,0.0
20181023:1310,662.98,813.16,28.09,16.72,4.41,0.0
20181023:1410,472.0,573.94,21.75,16.92,4.28,0.0
20181023:1510,288.97,359.56,13.62,16.59,4.41,0.0
20181023:1610,44.76,77.15,4.29,15.65,3.86,0.0
20181023:1710,0.0,0.0,0.0,14.24,3.59,0.0
20181023:1810,0.0,0.0,0.0,13.24,3.45,0.0
20181023:1910,0.0,0.0,0.0,11.94,3.31,0.0
20181023:2010,0.0,0.0,0.0,11.22,3.24,0.0
20181023:2110,0.0,0.0,0.0,10.6,3.24,0.0
20181023:2210,0.0,0.0,0.0,10.1,3.52,0.0
20181023:2310,0.0,0.0,0.0,9.73,3.66,0.0
20181024:0010,0.0,0.0,0.0,9.37,3.24,0.0
20181024:0110,0.0,0.0,0.0,8.95,2.83,0.0
20181024:0210,0.0,0.0,0.0,8.64,2.83,0.0
20181024:0310,0.0,0.0,0.0,8.56,2.83,0.0
20181024:0410,0.0,0.0,0.0,8.39,2.62,0.0
20181024:0510,0.0,0.0,0.0,8.09,2.62,0.0
20181024:0610,0.0,0.0,0.0,7.87,2.69,0.0
20181024:0710,186.29,233.32,9.29,8.39,2.83,0.0
20181024:0810,417.49,494.32,18.0,10.0,3.17,0.0
20181024:0910,590.7,703.88,25.2,11.68,4.0,0.0
20181024:1010,679.45,821.55,30.23,13.28,4.28,0.0
20181024:1110,703.98,859.29,32.48,14.69,4.41,0.0
20181024:1210,697.56,855.88,31.61,15.94,4.41,0.0
20181024:1310,605.11,737.18,27.75,16.87,4.76,0.0
20181024:1410,485.14,587.42,21.44,17.09,5.17,0.0
20181024:1510,277.71,345.65,13.33,16.89,5.45,0.0
20181024:1610,29.09,54.58,4.01,16.13,4.97,0.0
20181024:1710,0.0,0.0,0.0,14.9,4.41,0.0
20181024:1810,0.0,0.0,0.0,13.83,4.41,0.0
20181024:1910,0.0,0.0,0.0,12.81,4.69,0.0
20181024:2010,0.0,0.0,0.0,12.46,4.69,0.0
20181024:2110,0.0,0.0,0.0,12.09,4.55,0.0
20181024:2210,0.0,0.0,0.0,11.92,4.41,0.0
20181024:2310,0.0,0.0,0.0,11.75,4.21,0.0
20181025:0010,0.0,0.0,0.0,11.46,3.86,0.0
20181025:0110,0.0,0.0,0.0,11.01,3.66,0.0
20181025:0210,0.0,0.0,0.0,10.79,3.59,0.0
20181025:0310,0.0,0.0,0.0,10.47,3.52,0.0
20181025:0410,0.0,0.0,0.0,10.32,3.31,0.0
20181025:0510,0.0,0.0,0.0,10.11,2.97,0.0
20181025:0610,0.0,0.0,0.0,10.1,2.55,0.0
20181025:0710,77.77,108.35,9.04,10.35,1.59,0.0
20181025:0810,75.04,104.5,17.73,11.6,2.14,0.0
20181025:0910,46.13,70.62,24.89,13.01,2.34,0.0
20181025:1010,80.13,111.89,29.9,14.48,2.55,0.0
20181025:1110,59.68,88.04,32.14,16.04,2.62,0.0
20181025:1210,58.57,87.13,31.26,17.29,2.83,0.0
20181025:1310,89.5,124.73,27.42,18.1,3.1,0.0
20181025:1410,80.55,114.07,21.12,18.38,3.24,0.0
20181025:1510,154.75,202.51,13.04,18.09,3.1,0.0
20181025:1610,11.03,26.66,3.74,17.07,2.34,0.0
20181025:1710,0.0,0.0,0.0,15.38,2.28,0.0
20181025:1810,0.0,0.0,0.0,14.1,2.28,0.0
20181025:1910,0.0,0.0,0.0,11.69,2.07,0.0
20181025:2010,0.0,0.0,0.0,10.78,1.86,0.0
20181025:2110,0.0,0.0,0.0,9.67,1.72,0.0
20181025:2210,0.0,0.0,0.0,8.61,1.66,0.0
20181025:2310,0.0,0.0,0.0,7.93,1.59,0.0
20181026:0010,0.0,0.0,0.0,7.6,1.38,0.0
20181026:0110,0.0,0.0,0.0,7.33,1.31,0.0
20181026:0210,0.0,0.0,0.0,7.34,1.03,0.0
20181026:0310,0.0,0.0,0.0,7.11,0.9,0.0
20181026:0410,0.0,0.0,0.0,6.9,0.9,0.0
20181026:0510,0.0,0.0,0.0,6.61,0.97,0.0
20181026:0610,0.0,0.0,0.0,5.93,0.83,0.0
20181026:0710,28.28,47.28,8.78,6.55,0.76,0.0
20181026:0810,133.15,168.61,17.45,7.36,0.83,0.0
20181026:0910,80.58,110.05,24.59,8.63,0.83,0.0
20181026:1010,320.35,388.94,29.57,10.79,0.69,0.0
20181026:1110,654.92,832.58,31.8,13.05,0.55,0.0
20181026:1210,627.26,805.55,30.92,15.06,0.34,0.0
20181026:1310,540.96,683.96,27.09,16.28,0.62,0.0
20181026:1410,379.27,471.68,20.82,16.81,0.97,0.0
20181026:1510,159.48,208.2,12.75,16.79,1.17,0.0
20181026:1610,22.99,46.1,3.47,16.1,1.03,0.0
20181026:1710,0.0,0.0,0.0,14.59,0.97,0.0
20181026:1810,0.0,0.0,0.0,13.74,0.9,0.0
20181026:1910,0.0,0.0,0.0,11.42,1.38,0.0
20181026:2010,0.0,0.0,0.0,11.08,1.79,0.0
20181026:2110,0.0,0.0,0.0,10.98,2.55,0.0
20181026:2210,0.0,0.0,0.0,10.56,2.9,0.0
20181026:2310,0.0,0.0,0.0,10.11,2.55,0.0
20181027:0010,0.0,0.0,0.0,9.9,2.14,0.0
20181027:0110,0.0,0.0,0.0,9.75,2.14,0.0
20181027:0210,0.0,0.0,0.0,9.42,1.93,0.0
20181027:0310,0.0,0.0,0.0,9.02,1.59,0.0
20181027:0410,0.0,0.0,0.0,8.99,1.45,0.0
20181027:0510,0.0,0.0,0.0,8.92,1.66,0.0
20181027:0610,0.0,0.0,0.0,8.72,1.59,0.0
20181027:0710,8.0,20.18,8.53,8.61,1.38,0.0
20181027:0810,28.37,47.69,17.17,8.7,1.72,0.0
20181027:0910,29.84,49.52,24.29,8.71,2.34,0.0
20181027:1010,57.2,82.54,29.25,8.69,2.69,0.0
20181027:1110,90.44,121.06,31.46,8.73,2.9,0.0
20181027:1210,81.04,110.05,30.58,8.42,3.45,0.0
20181027:1310,55.02,79.79,26.76,8.23,3.24,0.0
20181027:1410,48.12,71.53,20.51,7.92,3.24,0.0
20181027:1510,34.49,55.03,12.47,7.56,3.17,0.0
20181027:1610,3.5,12.84,3.2,7.15,3.24,0.0
20181027:1710,0.0,0.0,0.0,6.67,3.93,0.0
20181027:1810,0.0,0.0,0.0,6.47,3.79,0.0
20181027:1910,0.0,0.0,0.0,5.98,3.52,0.0
20181027:2010,0.0,0.0,0.0,5.84,3.72,0.0
20181027:2110,0.0,0.0,0.0,5.72,3.86,0.0
20181027:2210,0.0,0.0,0.0,5.52,4.0,0.0
20181027:2310,0.0,0.0,0.0,5.52,4.07,0.0
20181028:0010,0.0,0.0,0.0,5.39,4.14,0.0
20181028:0110,0.0,0.0,0.0,5.19,4.41,0.0
20181028:0210,0.0,0.0,0.0,5.22,4.34,0.0
20181028:0310,0.0,0.0,0.0,5.21,4.34,0.0
20181028:0410,0.0,0.0,0.0,5.17,4.21,0.0
20181028:0510,0.0,0.0,0.0,5.08,4.0,0.0
20181028:0610,0.0,0.0,0.0,4.92,3.93,0.0
20181028:0710,87.85,117.82,8.27,5.42,2.9,0.0
20181028:0810,179.12,217.2,16.89,5.75,2.76,0.0
20181028:0910,36.22,56.86,23.99,6.25,2.9,0.0
20181028:1010,102.51,133.9,28.92,6.91,2.69,0.0
20181028:1110,189.15,231.58,31.12,7.63,2.41,0.0
20181028:1210,161.54,201.08,30.25,7.96,2.28,0.0
20181028:1310,120.43,155.01,26.44,8.37,2.28,0.0
20181028:1410,77.27,105.88,20.21,8.56,2.21,0.0
20181028:1510,152.05,191.76,12.19,8.62,2.34,0.0
20181028:1610,1.98,10.09,2.94,8.63,2.55,0.0
20181028:1710,0.0,0.0,0.0,8.26,2.28,0.0
20181028:1810,0.0,0.0,0.0,7.44,2.34,0.0
20181028:1910,0.0,0.0,0.0,6.95,2.28,0.0
20181028:2010,0.0,0.0,0.0,6.6,2.07,0.0
20181028:2110,0.0,0.0,0.0,6.54,1.45,0.0
20181028:2210,0.0,0.0,0.0,6.19,1.1,0.0
20181028:2310,0.0,0.0,0.0,6.24,1.31,0.0
20181029:0010,0.0,0.0,0.0,5.83,1.31,0.0
20181029:0110,0.0,0.0,0.0,5.59,1.79,0.0
20181029:0210,0.0,0.0,0.0,5.29,2.07,0.0
20181029:0310,0.0,0.0,0.0,5.03,2.41,0.0
20181029:0410,0.0,0.0,0.0,4.86,2.34,0.0
20181029:0510,0.0,0.0,0.0,4.68,2.41,0.0
20181029:0610,0.0,0.0,0.0,4.42,3.03,0.0
20181029:0710,6.36,17.43,8.02,4.97,2.62,0.0
20181029:0810,8.17,20.18,16.62,5.11,2.83,0.0
20181029:0910,31.89,51.36,23.69,5.28,3.45,0.0
20181029:1010,72.57,99.05,28.6,5.41,3.79,0.0
20181029:1110,75.73,102.72,30.79,5.64,4.07,0.0
20181029:1210,49.36,72.45,29.92,6.21,4.76,0.0
20181029:1310,51.61,75.2,26.13,6.66,5.24,0.0
20181029:1410,45.42,67.87,19.92,6.49,4.97,0.0
20181029:1510,22.25,39.44,11.91,6.03,4.21,0.0
20181029:1610,0.0,1.83,2.68,5.61,4.69,0.0
20181029:1710,0.0,0.0,0.0,5.17,4.9,0.0
20181029:1810,0.0,0.0,0.0,4.89,4.41,0.0
20181029:1910,0.0,0.0,0.0,4.14,3.93,0.0
20181029:2010,0.0,0.0,0.0,3.71,4.21,0.0
20181029:2110,0.0,0.0,0.0,2.53,3.66,0.0
20181029:2210,0.0,0.0,0.0,2.1,2.62,0.0
20181029:2310,0.0,0.0,0.0,1.95,2.48,0.0
20181030:0010,0.0,0.0,0.0,1.91,2.41,0.0
20181030:0110,0.0,0.0,0.0,1.96,2.76,0.0
20181030:0210,0.0,0.0,0.0,1.91,3.31,0.0
20181030:0310,0.0,0.0,0.0,2.01,3.45,0.0
20181030:0410,0.0,0.0,0.0,2.44,3.93,0.0
20181030:0510,0.0,0.0,0.0,2.9,4.21,0.0
20181030:0610,0.0,0.0,0.0,3.33,4.28,0.0
20181030:0710,17.58,33.02,7.77,3.28,4.9,0.0
20181030:0810,178.45,213.64,16.35,3.66,4.76,0.0
20181030:0910,116.87,147.81,23.39,4.34,4.76,0.0
20181030:1010,137.37,171.11,28.28,5.18,4.69,0.0
20181030:1110,275.49,323.79,30.46,6.19,4.41,0.0
20181030:1210,752.34,885.43,29.59,7.64,4.9,0.0
20181030:1310,596.65,698.55,25.81,8.47,4.41,0.0
20181030:1410,299.7,354.14,19.63,9.56,5.1,0.0
20181030:1510,270.21,327.32,11.64,9.63,4.55,0.0
20181030:1610,13.51,31.14,2.43,8.85,3.93,0.0
20181030:1710,0.0,0.0,0.0,8.08,3.45,0.0
20181030:1810,0.0,0.0,0.0,7.79,3.1,0.0
20181030:1910,0.0,0.0,0.0,7.72,3.24,0.0
20181030:2010,0.0,0.0,0.0,8.01,3.52,0.0
20181030:2110,0.0,0.0,0.0,7.88,3.24,0.0
20181030:2210,0.0,0.0,0.0,7.88,2.76,0.0
20181030:2310,0.0,0.0,0.0,7.46,2.48,0.0
20181031:0010,0.0,0.0,0.0,7.71,2.48,0.0
20181031:0110,0.0,0.0,0.0,8.47,2.69,0.0
20181031:0210,0.0,0.0,0.0,8.8,2.55,0.0
20181031:0310,0.0,0.0,0.0,8.83,2.41,0.0
20181031:0410,0.0,0.0,0.0,8.81,2.41,0.0
20181031:0510,0.0,0.0,0.0,8.78,2.55,0.0
20181031:0610,0.0,0.0,0.0,8.77,2.55,0.0
20181031:0710,44.03,67.21,7.51,7.79,1.72,0.0
20181031:0810,27.7,46.77,16.07,8.23,1.45,0.0
20181031:0910,68.5,96.3,23.09,9.7,1.52,0.0
20181031:1010,80.74,110.97,27.97,10.67,1.79,0.0
20181031:1110,49.6,74.29,30.13,11.09,2.14,0.0
20181031:1210,451.38,543.41,29.27,12.25,2.34,0.0
20181031:1310,433.27,520.72,25.51,13.3,3.03,0.0
20181031:1410,109.67,145.44,19.34,13.73,3.31,0.0
20181031:1510,143.04,184.92,11.38,13.52,3.86,0.0
20181031:1610,1.47,9.17,2.19,12.65,3.66,0.0
20181031:1710,0.0,0.0,0.0,11.84,3.45,0.0
20181031:1810,0.0,0.0,0.0,11.31,3.24,0.0
